pin,bank,site,tile,pin_function
B1,34,IOB_X1Y253,RIOB18_X107Y253,IO_L23N_T3_34
B2,34,IOB_X1Y252,RIOB18_X107Y251,IO_L24P_T3_34
B4,34,IOB_X1Y259,RIOB18_X107Y259,IO_L20N_T3_34
B5,34,IOB_X1Y260,RIOB18_X107Y259,IO_L20P_T3_34
B6,34,IOB_X1Y258,RIOB18_X107Y257,IO_L21P_T3_DQS_34
B7,34,IOB_X1Y264,RIOB18_X107Y263,IO_L18P_T2_34
B9,34,IOB_X1Y269,RIOB18_X107Y269,IO_L15N_T2_DQS_34
B10,34,IOB_X1Y268,RIOB18_X107Y267,IO_L16P_T2_34
B11,35,IOB_X1Y303,RIOB18_X107Y303,IO_L23N_T3_35
B12,35,IOB_X1Y305,RIOB18_X107Y305,IO_L22N_T3_AD7N_35
B14,35,IOB_X1Y309,RIOB18_X107Y309,IO_L20N_T3_AD6N_35
B15,35,IOB_X1Y315,RIOB18_X107Y315,IO_L17N_T2_AD5N_35
B16,35,IOB_X1Y316,RIOB18_X107Y315,IO_L17P_T2_AD5P_35
B17,35,IOB_X1Y314,RIOB18_X107Y313,IO_L18P_T2_AD13P_35
B19,501,IOPAD_X1Y124,PSS2_X32Y313,PS_MIO47_501
B20,501,IOPAD_X1Y128,PSS2_X32Y313,PS_MIO51_501
B21,501,IOPAD_X1Y125,PSS2_X32Y313,PS_MIO48_501
B22,501,IOPAD_X1Y127,PSS2_X32Y313,PS_MIO50_501
B24,500,IOPAD_X1Y26,PSS2_X32Y313,PS_CLK_500
B25,500,IOPAD_X1Y90,PSS2_X32Y313,PS_MIO13_500
B26,500,IOPAD_X1Y88,PSS2_X32Y313,PS_MIO11_500
C1,33,IOB_X1Y241,RIOB18_X107Y241,IO_L4N_T0_33
C2,34,IOB_X1Y254,RIOB18_X107Y253,IO_L23P_T3_34
C3,34,IOB_X1Y261,RIOB18_X107Y261,IO_L19N_T3_VREF_34
C4,34,IOB_X1Y262,RIOB18_X107Y261,IO_L19P_T3_34
C6,34,IOB_X1Y271,RIOB18_X107Y271,IO_L14N_T2_SRCC_34
C7,34,IOB_X1Y273,RIOB18_X107Y273,IO_L13N_T2_MRCC_34
C8,34,IOB_X1Y274,RIOB18_X107Y273,IO_L13P_T2_MRCC_34
C9,34,IOB_X1Y270,RIOB18_X107Y269,IO_L15P_T2_DQS_34
C11,35,IOB_X1Y304,RIOB18_X107Y303,IO_L23P_T3_35
C12,35,IOB_X1Y306,RIOB18_X107Y305,IO_L22P_T3_AD7P_35
C13,35,IOB_X1Y311,RIOB18_X107Y311,IO_L19N_T3_VREF_35
C14,35,IOB_X1Y310,RIOB18_X107Y309,IO_L20P_T3_AD6P_35
C16,35,IOB_X1Y319,RIOB18_X107Y319,IO_L15N_T2_DQS_AD12N_35
C17,35,IOB_X1Y320,RIOB18_X107Y319,IO_L15P_T2_DQS_AD12P_35
C18,501,IOPAD_X1Y122,PSS2_X32Y313,PS_MIO45_501
C19,501,IOPAD_X1Y118,PSS2_X32Y313,PS_MIO41_501
C21,501,IOPAD_X1Y116,PSS2_X32Y313,PS_MIO39_501
C22,501,IOPAD_X1Y117,PSS2_X32Y313,PS_MIO40_501
C23,500,IOPAD_X1Y132,PSS2_X32Y313,PS_POR_B_500
C24,500,IOPAD_X1Y92,PSS2_X32Y313,PS_MIO15_500
C26,500,IOPAD_X1Y82,PSS2_X32Y313,PS_MIO5_500
D1,33,IOB_X1Y242,RIOB18_X107Y241,IO_L4P_T0_33
D3,33,IOB_X1Y245,RIOB18_X107Y245,IO_L2N_T0_33
D4,33,IOB_X1Y246,RIOB18_X107Y245,IO_L2P_T0_33
D5,34,IOB_X1Y279,RIOB18_X107Y279,IO_L10N_T1_34
D6,34,IOB_X1Y272,RIOB18_X107Y271,IO_L14P_T2_SRCC_34
D8,34,IOB_X1Y283,RIOB18_X107Y283,IO_L8N_T1_34
D9,34,IOB_X1Y284,RIOB18_X107Y283,IO_L8P_T1_34
D10,35,IOB_X1Y345,RIOB18_X107Y345,IO_L2N_T0_AD8N_35
D11,35,IOB_X1Y341,RIOB18_X107Y341,IO_L4N_T0_35
D13,35,IOB_X1Y312,RIOB18_X107Y311,IO_L19P_T3_35
D14,35,IOB_X1Y323,RIOB18_X107Y323,IO_L13N_T2_MRCC_35
D15,35,IOB_X1Y324,RIOB18_X107Y323,IO_L13P_T2_MRCC_35
D16,35,IOB_X1Y317,RIOB18_X107Y317,IO_L16N_T2_35
D18,501,IOPAD_X1Y120,PSS2_X32Y313,PS_MIO43_501
D19,501,IOPAD_X1Y112,PSS2_X32Y313,PS_MIO35_501
D20,501,IOPAD_X1Y114,PSS2_X32Y313,PS_MIO37_501
D21,501,IOPAD_X1Y115,PSS2_X32Y313,PS_MIO38_501
D23,500,IOPAD_X1Y91,PSS2_X32Y313,PS_MIO14_500
D24,500,IOPAD_X1Y86,PSS2_X32Y313,PS_MIO9_500
D25,500,IOPAD_X1Y80,PSS2_X32Y313,PS_MIO3_500
D26,500,IOPAD_X1Y78,PSS2_X32Y313,PS_MIO1_500
E1,33,IOB_X1Y239,RIOB18_X107Y239,IO_L5N_T0_33
E2,33,IOB_X1Y240,RIOB18_X107Y239,IO_L5P_T0_33
E3,33,IOB_X1Y237,RIOB18_X107Y237,IO_L6N_T0_VREF_33
E5,34,IOB_X1Y285,RIOB18_X107Y285,IO_L7N_T1_34
E6,34,IOB_X1Y280,RIOB18_X107Y279,IO_L10P_T1_34
E7,34,IOB_X1Y277,RIOB18_X107Y277,IO_L11N_T1_SRCC_34
E8,34,IOB_X1Y281,RIOB18_X107Y281,IO_L9N_T1_DQS_34
E10,35,IOB_X1Y346,RIOB18_X107Y345,IO_L2P_T0_AD8P_35
E11,35,IOB_X1Y342,RIOB18_X107Y341,IO_L4P_T0_35
E12,35,IOB_X1Y347,RIOB18_X107Y347,IO_L1N_T0_AD0N_35
E13,35,IOB_X1Y337,RIOB18_X107Y337,IO_L6N_T0_VREF_35
E15,35,IOB_X1Y321,RIOB18_X107Y321,IO_L14N_T2_AD4N_SRCC_35
E16,35,IOB_X1Y318,RIOB18_X107Y317,IO_L16P_T2_35
E17,501,IOPAD_X1Y123,PSS2_X32Y313,PS_MIO46_501
E18,501,IOPAD_X1Y121,PSS2_X32Y313,PS_MIO44_501
E20,501,IOPAD_X1Y106,PSS2_X32Y313,PS_MIO29_501
E21,501,IOPAD_X1Y108,PSS2_X32Y313,PS_MIO31_501
E22,501,IOPAD_X1Y110,PSS2_X32Y313,PS_MIO33_501
E23,500,IOPAD_X1Y84,PSS2_X32Y313,PS_MIO7_500
E25,500,IOPAD_X1Y79,PSS2_X32Y313,PS_MIO2_500
E26,500,IOPAD_X1Y77,PSS2_X32Y313,PS_MIO0_500
F2,33,IOB_X1Y243,RIOB18_X107Y243,IO_L3N_T0_DQS_33
F3,33,IOB_X1Y238,RIOB18_X107Y237,IO_L6P_T0_33
F4,33,IOB_X1Y247,RIOB18_X107Y247,IO_L1N_T0_33
F5,34,IOB_X1Y286,RIOB18_X107Y285,IO_L7P_T1_34
F7,34,IOB_X1Y275,RIOB18_X107Y275,IO_L12N_T1_MRCC_34
F8,34,IOB_X1Y278,RIOB18_X107Y277,IO_L11P_T1_SRCC_34
F9,34,IOB_X1Y282,RIOB18_X107Y281,IO_L9P_T1_DQS_34
F10,35,IOB_X1Y343,RIOB18_X107Y343,IO_L3N_T0_DQS_AD1N_35
F12,35,IOB_X1Y348,RIOB18_X107Y347,IO_L1P_T0_AD0P_35
F13,35,IOB_X1Y338,RIOB18_X107Y337,IO_L6P_T0_35
F14,35,IOB_X1Y327,RIOB18_X107Y327,IO_L11N_T1_SRCC_35
F15,35,IOB_X1Y322,RIOB18_X107Y321,IO_L14P_T2_AD4P_SRCC_35
F17,501,IOPAD_X1Y119,PSS2_X32Y313,PS_MIO42_501
F18,501,IOPAD_X1Y104,PSS2_X32Y313,PS_MIO27_501
F19,501,IOPAD_X1Y102,PSS2_X32Y313,PS_MIO25_501
F20,501,IOPAD_X1Y100,PSS2_X32Y313,PS_MIO23_501
F22,501,IOPAD_X1Y98,PSS2_X32Y313,PS_MIO21_501
F23,500,IOPAD_X1Y83,PSS2_X32Y313,PS_MIO6_500
F24,500,IOPAD_X1Y81,PSS2_X32Y313,PS_MIO4_500
F25,502,IOPAD_X1Y33,PSS2_X32Y313,PS_DDR_DQ1_502
G1,33,IOB_X1Y229,RIOB18_X107Y229,IO_L10N_T1_33
G2,33,IOB_X1Y244,RIOB18_X107Y243,IO_L3P_T0_DQS_33
G4,33,IOB_X1Y248,RIOB18_X107Y247,IO_L1P_T0_33
G5,34,IOB_X1Y295,RIOB18_X107Y295,IO_L2N_T0_34
G6,34,IOB_X1Y296,RIOB18_X107Y295,IO_L2P_T0_34
G7,34,IOB_X1Y276,RIOB18_X107Y275,IO_L12P_T1_MRCC_34
G9,34,IOB_X1Y293,RIOB18_X107Y293,IO_L3N_T0_DQS_34
G10,35,IOB_X1Y344,RIOB18_X107Y343,IO_L3P_T0_DQS_AD1P_35
G11,35,IOB_X1Y339,RIOB18_X107Y339,IO_L5N_T0_AD9N_35
G12,35,IOB_X1Y340,RIOB18_X107Y339,IO_L5P_T0_AD9P_35
G14,35,IOB_X1Y328,RIOB18_X107Y327,IO_L11P_T1_SRCC_35
G15,35,IOB_X1Y329,RIOB18_X107Y329,IO_L10N_T1_AD11N_35
G16,35,IOB_X1Y330,RIOB18_X107Y329,IO_L10P_T1_AD11P_35
G17,501,IOPAD_X1Y94,PSS2_X32Y313,PS_MIO17_501
G19,501,IOPAD_X1Y96,PSS2_X32Y313,PS_MIO19_501
G20,501,IOPAD_X1Y95,PSS2_X32Y313,PS_MIO18_501
G21,501,IOPAD_X1Y93,PSS2_X32Y313,PS_MIO16_501
G22,501,IOPAD_X1Y99,PSS2_X32Y313,PS_MIO22_501
G24,502,IOPAD_X1Y28,PSS2_X32Y313,PS_DDR_DM0_502
G25,502,IOPAD_X1Y64,PSS2_X32Y313,PS_DDR_DQS_N0_502
G26,502,IOPAD_X1Y35,PSS2_X32Y313,PS_DDR_DQ3_502
H1,33,IOB_X1Y235,RIOB18_X107Y235,IO_L7N_T1_33
H2,33,IOB_X1Y230,RIOB18_X107Y229,IO_L10P_T1_33
H3,33,IOB_X1Y233,RIOB18_X107Y233,IO_L8N_T1_33
H4,33,IOB_X1Y234,RIOB18_X107Y233,IO_L8P_T1_33
H6,34,IOB_X1Y291,RIOB18_X107Y291,IO_L4N_T0_34
H7,34,IOB_X1Y292,RIOB18_X107Y291,IO_L4P_T0_34
H8,34,IOB_X1Y287,RIOB18_X107Y287,IO_L6N_T0_VREF_34
H9,34,IOB_X1Y294,RIOB18_X107Y293,IO_L3P_T0_DQS_PUDC_B_34
H11,34,IOB_X1Y297,RIOB18_X107Y297,IO_L1N_T0_34
H12,35,IOB_X1Y335,RIOB18_X107Y335,IO_L7N_T1_AD2N_35
H13,35,IOB_X1Y336,RIOB18_X107Y335,IO_L7P_T1_AD2P_35
H14,35,IOB_X1Y325,RIOB18_X107Y325,IO_L12N_T1_MRCC_35
H16,35,IOB_X1Y349,RIOB18_SING_X107Y349,IO_0_VRN_35
H17,501,IOPAD_X1Y103,PSS2_X32Y313,PS_MIO26_501
H19,501,IOPAD_X1Y97,PSS2_X32Y313,PS_MIO20_501
H21,502,IOPAD_X1Y15,PSS2_X32Y313,PS_DDR_A11_502
H22,502,IOPAD_X1Y72,PSS2_X32Y313,PS_DDR_DRST_B_502
H23,502,IOPAD_X1Y37,PSS2_X32Y313,PS_DDR_DQ5_502
H24,502,IOPAD_X1Y68,PSS2_X32Y313,PS_DDR_DQS_P0_502
H26,502,IOPAD_X1Y36,PSS2_X32Y313,PS_DDR_DQ4_502
J1,33,IOB_X1Y236,RIOB18_X107Y235,IO_L7P_T1_33
J3,33,IOB_X1Y225,RIOB18_X107Y225,IO_L12N_T1_MRCC_33
J4,33,IOB_X1Y226,RIOB18_X107Y225,IO_L12P_T1_MRCC_33
J5,33,IOB_X1Y209,RIOB18_X107Y209,IO_L20N_T3_33
J6,33,IOB_X1Y205,RIOB18_X107Y205,IO_L22N_T3_33
J8,34,IOB_X1Y288,RIOB18_X107Y287,IO_L6P_T0_34
J9,34,IOB_X1Y289,RIOB18_X107Y289,IO_L5N_T0_34
J10,34,IOB_X1Y290,RIOB18_X107Y289,IO_L5P_T0_34
J11,34,IOB_X1Y298,RIOB18_X107Y297,IO_L1P_T0_34
J13,35,IOB_X1Y333,RIOB18_X107Y333,IO_L8N_T1_AD10N_35
J14,35,IOB_X1Y326,RIOB18_X107Y325,IO_L12P_T1_MRCC_35
J15,35,IOB_X1Y331,RIOB18_X107Y331,IO_L9N_T1_DQS_AD3N_35
J16,501,IOPAD_X1Y111,PSS2_X32Y313,PS_MIO34_501
J18,501,IOPAD_X1Y105,PSS2_X32Y313,PS_MIO28_501
J19,501,IOPAD_X1Y101,PSS2_X32Y313,PS_MIO24_501
J20,502,IOPAD_X1Y18,PSS2_X32Y313,PS_DDR_A13_502
J21,502,IOPAD_X1Y11,PSS2_X32Y313,PS_DDR_A7_502
J23,502,IOPAD_X1Y39,PSS2_X32Y313,PS_DDR_DQ7_502
J24,502,IOPAD_X1Y38,PSS2_X32Y313,PS_DDR_DQ6_502
J25,502,IOPAD_X1Y34,PSS2_X32Y313,PS_DDR_DQ2_502
J26,502,IOPAD_X1Y32,PSS2_X32Y313,PS_DDR_DQ0_502
K1,33,IOB_X1Y231,RIOB18_X107Y231,IO_L9N_T1_DQS_33
K2,33,IOB_X1Y232,RIOB18_X107Y231,IO_L9P_T1_DQS_33
K3,33,IOB_X1Y227,RIOB18_X107Y227,IO_L11N_T1_SRCC_33
K5,33,IOB_X1Y210,RIOB18_X107Y209,IO_L20P_T3_33
K6,33,IOB_X1Y206,RIOB18_X107Y205,IO_L22P_T3_33
K7,33,IOB_X1Y201,RIOB18_X107Y201,IO_L24N_T3_33
K8,33,IOB_X1Y202,RIOB18_X107Y201,IO_L24P_T3_33
K10,34,IOB_X1Y250,RIOB18_SING_X107Y250,IO_25_VRP_34
K11,34,IOB_X1Y299,RIOB18_SING_X107Y299,IO_0_VRN_34
K12,35,IOB_X1Y300,RIOB18_SING_X107Y300,IO_25_VRP_35
K13,35,IOB_X1Y334,RIOB18_X107Y333,IO_L8P_T1_AD10P_35
K15,35,IOB_X1Y332,RIOB18_X107Y331,IO_L9P_T1_DQS_AD3P_35
K16,501,IOPAD_X1Y113,PSS2_X32Y313,PS_MIO36_501
K17,501,IOPAD_X1Y109,PSS2_X32Y313,PS_MIO32_501
K19,501,IOPAD_X1Y107,PSS2_X32Y313,PS_MIO30_501
K20,502,IOPAD_X1Y5,PSS2_X32Y313,PS_DDR_A1_502
K22,502,IOPAD_X1Y4,PSS2_X32Y313,PS_DDR_A0_502
K23,502,IOPAD_X1Y43,PSS2_X32Y313,PS_DDR_DQ11_502
K25,502,IOPAD_X1Y29,PSS2_X32Y313,PS_DDR_DM1_502
K26,502,IOPAD_X1Y40,PSS2_X32Y313,PS_DDR_DQ8_502
L2,33,IOB_X1Y217,RIOB18_X107Y217,IO_L16N_T2_33
L3,33,IOB_X1Y228,RIOB18_X107Y227,IO_L11P_T1_SRCC_33
L4,33,IOB_X1Y221,RIOB18_X107Y221,IO_L14N_T2_SRCC_33
L5,33,IOB_X1Y222,RIOB18_X107Y221,IO_L14P_T2_SRCC_33
L7,33,IOB_X1Y211,RIOB18_X107Y211,IO_L19N_T3_VREF_33
L8,33,IOB_X1Y207,RIOB18_X107Y207,IO_L21N_T3_DQS_33
L9,33,IOB_X1Y249,RIOB18_SING_X107Y249,IO_0_VRN_33
L20,502,IOPAD_X1Y10,PSS2_X32Y313,PS_DDR_A6_502
L22,502,IOPAD_X1Y7,PSS2_X32Y313,PS_DDR_A3_502
L23,502,IOPAD_X1Y41,PSS2_X32Y313,PS_DDR_DQ9_502
L24,502,IOPAD_X1Y69,PSS2_X32Y313,PS_DDR_DQS_P1_502
L25,502,IOPAD_X1Y65,PSS2_X32Y313,PS_DDR_DQS_N1_502
M1,33,IOB_X1Y213,RIOB18_X107Y213,IO_L18N_T2_33
M2,33,IOB_X1Y218,RIOB18_X107Y217,IO_L16P_T2_33
M4,33,IOB_X1Y215,RIOB18_X107Y215,IO_L17N_T2_33
M5,33,IOB_X1Y223,RIOB18_X107Y223,IO_L13N_T2_MRCC_33
M6,33,IOB_X1Y224,RIOB18_X107Y223,IO_L13P_T2_MRCC_33
M7,33,IOB_X1Y212,RIOB18_X107Y211,IO_L19P_T3_33
M8,33,IOB_X1Y208,RIOB18_X107Y207,IO_L21P_T3_DQS_33
M20,502,IOPAD_X1Y8,PSS2_X32Y313,PS_DDR_A4_502
M22,502,IOPAD_X1Y14,PSS2_X32Y313,PS_DDR_A10_502
M24,502,IOPAD_X1Y46,PSS2_X32Y313,PS_DDR_DQ14_502
M25,502,IOPAD_X1Y44,PSS2_X32Y313,PS_DDR_DQ12_502
M26,502,IOPAD_X1Y42,PSS2_X32Y313,PS_DDR_DQ10_502
N1,33,IOB_X1Y214,RIOB18_X107Y213,IO_L18P_T2_33
N2,33,IOB_X1Y219,RIOB18_X107Y219,IO_L15N_T2_DQS_33
N3,33,IOB_X1Y220,RIOB18_X107Y219,IO_L15P_T2_DQS_33
N4,33,IOB_X1Y216,RIOB18_X107Y215,IO_L17P_T2_33
N6,33,IOB_X1Y203,RIOB18_X107Y203,IO_L23N_T3_33
N7,33,IOB_X1Y204,RIOB18_X107Y203,IO_L23P_T3_33
N8,33,IOB_X1Y200,RIOB18_SING_X107Y200,IO_25_VRP_33
N14,0,IPAD_X0Y120,MONITOR_BOT_PELE1_X197Y339,VP_0
N21,502,IOPAD_X1Y6,PSS2_X32Y313,PS_DDR_A2_502
N22,502,IOPAD_X1Y9,PSS2_X32Y313,PS_DDR_A5_502
N23,502,IOPAD_X1Y47,PSS2_X32Y313,PS_DDR_DQ15_502
N24,502,IOPAD_X1Y45,PSS2_X32Y313,PS_DDR_DQ13_502
N26,502,IOPAD_X1Y50,PSS2_X32Y313,PS_DDR_DQ18_502
P13,0,IPAD_X0Y121,MONITOR_BOT_PELE1_X197Y339,VN_0
P20,502,IOPAD_X1Y16,PSS2_X32Y313,PS_DDR_A12_502
P21,502,IOPAD_X1Y24,PSS2_X32Y313,PS_DDR_CKN_502
P23,502,IOPAD_X1Y51,PSS2_X32Y313,PS_DDR_DQ19_502
P24,502,IOPAD_X1Y49,PSS2_X32Y313,PS_DDR_DQ17_502
P25,502,IOPAD_X1Y70,PSS2_X32Y313,PS_DDR_DQS_P2_502
P26,502,IOPAD_X1Y30,PSS2_X32Y313,PS_DDR_DM2_502
R1,112,OPAD_X0Y30,GTX_CHANNEL_3_X249Y202,MGTXTXN3_112
R2,112,OPAD_X0Y31,GTX_CHANNEL_3_X249Y202,MGTXTXP3_112
R5,112,IPAD_X1Y99,GTX_COMMON_X249Y179,MGTREFCLK0N_112
R6,112,IPAD_X1Y98,GTX_COMMON_X249Y179,MGTREFCLK0P_112
R20,502,IOPAD_X1Y17,PSS2_X32Y313,PS_DDR_A14_502
R21,502,IOPAD_X1Y25,PSS2_X32Y313,PS_DDR_CKP_502
R22,502,IOPAD_X1Y21,PSS2_X32Y313,PS_DDR_BA2_502
R23,502,IOPAD_X1Y55,PSS2_X32Y313,PS_DDR_DQ23_502
R25,502,IOPAD_X1Y66,PSS2_X32Y313,PS_DDR_DQS_N2_502
R26,502,IOPAD_X1Y48,PSS2_X32Y313,PS_DDR_DQ16_502
T3,112,IPAD_X1Y114,GTX_CHANNEL_3_X249Y202,MGTXRXN3_112
T4,112,IPAD_X1Y115,GTX_CHANNEL_3_X249Y202,MGTXRXP3_112
T20,502,IOPAD_X1Y12,PSS2_X32Y313,PS_DDR_A8_502
T22,502,IOPAD_X1Y20,PSS2_X32Y313,PS_DDR_BA1_502
T23,502,IOPAD_X1Y54,PSS2_X32Y313,PS_DDR_DQ22_502
T24,502,IOPAD_X1Y52,PSS2_X32Y313,PS_DDR_DQ20_502
T25,502,IOPAD_X1Y53,PSS2_X32Y313,PS_DDR_DQ21_502
U1,112,OPAD_X0Y28,GTX_CHANNEL_2_X249Y191,MGTXTXN2_112
U2,112,OPAD_X0Y29,GTX_CHANNEL_2_X249Y191,MGTXTXP2_112
U5,112,IPAD_X1Y101,GTX_COMMON_X249Y179,MGTREFCLK1N_112
U6,112,IPAD_X1Y100,GTX_COMMON_X249Y179,MGTREFCLK1P_112
U20,502,IOPAD_X1Y13,PSS2_X32Y313,PS_DDR_A9_502
U21,502,IOPAD_X1Y23,PSS2_X32Y313,PS_DDR_CKE_502
U22,502,IOPAD_X1Y19,PSS2_X32Y313,PS_DDR_BA0_502
U24,502,IOPAD_X1Y58,PSS2_X32Y313,PS_DDR_DQ26_502
U25,502,IOPAD_X1Y59,PSS2_X32Y313,PS_DDR_DQ27_502
U26,502,IOPAD_X1Y57,PSS2_X32Y313,PS_DDR_DQ25_502
V3,112,IPAD_X1Y108,GTX_CHANNEL_2_X249Y191,MGTXRXN2_112
V4,112,IPAD_X1Y109,GTX_CHANNEL_2_X249Y191,MGTXRXP2_112
V21,502,IOPAD_X1Y2,PSS2_X32Y313,PS_DDR_VRN_502
V22,502,IOPAD_X1Y1,PSS2_X32Y313,PS_DDR_WE_B_502
V23,502,IOPAD_X1Y133,PSS2_X32Y313,PS_DDR_RAS_B_502
V24,502,IOPAD_X1Y56,PSS2_X32Y313,PS_DDR_DQ24_502
V26,502,IOPAD_X1Y31,PSS2_X32Y313,PS_DDR_DM3_502
W1,112,OPAD_X0Y26,GTX_CHANNEL_1_X249Y173,MGTXTXN1_112
W2,112,OPAD_X0Y27,GTX_CHANNEL_1_X249Y173,MGTXTXP1_112
W5,111,IPAD_X1Y69,GTX_COMMON_X249Y127,MGTREFCLK0N_111
W6,111,IPAD_X1Y68,GTX_COMMON_X249Y127,MGTREFCLK0P_111
W21,502,IOPAD_X1Y3,PSS2_X32Y313,PS_DDR_VRP_502
W23,502,IOPAD_X1Y63,PSS2_X32Y313,PS_DDR_DQ31_502
W24,502,IOPAD_X1Y71,PSS2_X32Y313,PS_DDR_DQS_P3_502
W25,502,IOPAD_X1Y67,PSS2_X32Y313,PS_DDR_DQS_N3_502
W26,502,IOPAD_X1Y60,PSS2_X32Y313,PS_DDR_DQ28_502
Y3,112,IPAD_X1Y96,GTX_CHANNEL_1_X249Y173,MGTXRXN1_112
Y4,112,IPAD_X1Y97,GTX_CHANNEL_1_X249Y173,MGTXRXP1_112
Y21,502,IOPAD_X1Y27,PSS2_X32Y313,PS_DDR_CS_B_502
Y22,502,IOPAD_X1Y131,PSS2_X32Y313,PS_DDR_ODT_502
Y23,502,IOPAD_X1Y22,PSS2_X32Y313,PS_DDR_CAS_B_502
Y25,502,IOPAD_X1Y61,PSS2_X32Y313,PS_DDR_DQ29_502
Y26,502,IOPAD_X1Y62,PSS2_X32Y313,PS_DDR_DQ30_502
